,Batch #,Fly ID,Date,Day,Drug Treatment,nTurns,rBias
524,1,45,5/13,10,TrH,10,0.5555555556
525,1,46,5/13,10,TrH,132,0.427480916
526,1,47,5/13,10,TrH,281,0.6571428571
527,1,48,5/13,10,TrH,2,1.0
528,1,49,5/13,10,TrH,283,0.609929078
529,1,50,5/13,10,TrH,51,0.52
530,1,51,5/13,10,TrH,58,0.45614035090000005
531,1,52,5/13,10,TrH,51,0.64
532,1,53,5/13,10,TrH,70,0.5217391304
533,1,54,5/13,10,TrH,58,0.5263157895
534,1,55,5/13,10,TrH,55,0.5
535,1,56,5/13,10,TrH,46,0.5555555556
536,1,57,5/13,10,TrH,11,0.5
537,1,58,5/13,10,TrH,11,0.4
538,1,59,5/13,10,TrH,1,
539,1,60,5/13,10,TrH,2,0.0
540,1,61,5/13,10,TrH,133,0.4848484848
541,1,62,5/13,10,TrH,314,0.5111821086
542,1,63,5/13,10,TrH,95,0.4787234043
543,1,64,5/13,10,TrH,44,0.511627907
544,1,65,5/13,10,TrH,31,0.5
545,1,66,5/13,10,TrH,43,0.6666666667
546,1,67,5/13,10,TrH,337,0.494047619
547,1,68,5/13,10,TrH,22,0.5714285714
548,1,69,5/13,10,TrH,5,0.75
549,1,70,5/13,10,TrH,129,0.421875
550,1,71,5/13,10,TrH,693,0.4031791908
551,1,72,5/13,10,TrH,77,0.6578947368
552,1,73,5/13,10,TrH,8,0.42857142859999997
553,1,74,5/13,10,TrH,159,0.3607594937
554,1,75,5/13,10,TrH,147,0.5136986300999999
555,1,76,5/13,10,TrH,181,0.42777777780000004
556,1,77,5/13,10,TrH,14,0.4615384615
557,1,78,5/13,10,TrH,25,0.5833333333
558,1,79,5/13,10,TrH,12,0.5454545454999999
559,1,80,5/13,10,TrH,10,0.44444444439999997
560,1,81,5/13,10,TrH,2,0.0
561,1,82,5/13,10,TrH,1,
562,1,83,5/13,10,TrH,0,
563,1,84,5/13,10,TrH,262,0.3333333333
564,1,85,5/13,10,TrH,452,0.5521064302
565,1,86,5/13,10,TrH,13,0.4166666667
566,1,87,5/13,10,TrH,620,0.662358643
567,1,88,5/13,10,TrH,355,0.2937853107
568,1,89,5/13,10,TrH,0,
569,1,90,5/13,10,TrH,156,0.2516129032
570,1,91,5/13,10,TrH,1,
571,1,92,5/13,10,TrH,5,0.5
